
2025/04/02 (18:12:57) | ===> btop++ v.1.4.0
2025/04/02 (18:12:57) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/02 (19:41:59) | ===> btop++ v.1.4.0
2025/04/02 (19:41:59) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/03 (15:11:44) | ===> btop++ v.1.4.0
2025/04/03 (15:11:44) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/04 (17:30:19) | ===> btop++ v.1.4.0
2025/04/04 (17:30:19) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/05 (16:08:39) | ===> btop++ v.1.4.0
2025/04/05 (16:08:39) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/08 (20:00:54) | ===> btop++ v.1.4.0
2025/04/08 (20:00:54) | WARNING: Intel GPU: Failed to initialize PMU
